S0,conversion_value,single_rate_price,tf_price,divergence_pct
5,10.0,85.11642354129468,85.13201770394028,0.01832097966150192
10,20.0,85.47241102518797,85.66414808550597,0.22432625688013108
15,30.0,86.65102488766152,87.39845157427516,0.8625710862423558
20,40.0,88.83793232525066,90.3762191982116,1.7315653715678687
25,50.0,92.0195015315902,94.74765463829209,2.9647553630415224
30,60.0,96.11450783845319,100.02945908725538,4.073215726581394
35,70.0,100.99751577574523,105.85298493225241,4.807513451408312
40,80.0,106.56831070046415,112.9035962520975,5.94481183945966
45,90.0,112.7064963971831,120.11991221368235,6.577629554177622
50,100.0,119.32924423944854,127.83364882666729,7.126840232184517
55,110.0,126.37874865914239,135.9745735834447,7.592910221150656
60,120.0,133.79935458725797,144.47185178029048,7.976493777533424
70,140.0,149.5579816429757,162.2690561061711,8.49909468124491
80,160.0,166.27804626161122,180.33139802053188,8.451718116058455
100,200.0,201.97557220688975,218.39689809533348,8.13035245253464
150,300.0,300.0,316.0256742189554,5.341891406318458
200,400.0,400.0,415.49914127206284,3.874785318015711
300,600.0,600.0,615.0897243493455,2.514954058224248
